Index,Sinus
0,0
1,3
2,6
3,9
4,12
5,16
6,19
7,22
8,25
9,28
10,31
11,34
12,37
13,40
14,43
15,46
16,49
17,52
18,54
19,57
20,60
21,63
22,66
23,68
24,71
25,73
26,76
27,78
28,81
29,83
30,86
31,88
32,90
33,92
34,94
35,96
36,98
37,100
38,102
39,104
40,106
41,108
42,109
43,111
44,112
45,114
46,115
47,116
48,118
49,119
50,120
51,121
52,122
53,123
54,123
55,124
56,125
57,125
58,126
59,126
60,126
61,127
62,127
63,127
64,127
65,127
66,127
67,127
68,126
69,126
70,125
71,125
72,124
73,124
74,123
75,122
76,121
77,120
78,119
79,118
80,117
81,116
82,114
83,113
84,112
85,110
86,108
87,107
88,105
89,103
90,101
91,99
92,97
93,95
94,93
95,91
96,89
97,87
98,84
99,82
100,80
101,77
102,75
103,72
104,69
105,67
106,64
107,61
108,59
109,56
110,53
111,50
112,47
113,44
114,41
115,39
116,36
117,32
118,29
119,26
120,23
121,20
122,17
123,14
124,11
125,8
126,5
127,2
128,-2
129,-5
130,-8
131,-11
132,-14
133,-17
134,-20
135,-23
136,-26
137,-29
138,-32
139,-36
140,-39
141,-41
142,-44
143,-47
144,-50
145,-53
146,-56
147,-59
148,-61
149,-64
150,-67
151,-69
152,-72
153,-75
154,-77
155,-80
156,-82
157,-84
158,-87
159,-89
160,-91
161,-93
162,-95
163,-97
164,-99
165,-101
166,-103
167,-105
168,-107
169,-108
170,-110
171,-112
172,-113
173,-114
174,-116
175,-117
176,-118
177,-119
178,-120
179,-121
180,-122
181,-123
182,-124
183,-124
184,-125
185,-125
186,-126
187,-126
188,-127
189,-127
190,-127
191,-127
192,-127
193,-127
194,-127
195,-126
196,-126
197,-126
198,-125
199,-125
200,-124
201,-123
202,-123
203,-122
204,-121
205,-120
206,-119
207,-118
208,-116
209,-115
210,-114
211,-112
212,-111
213,-109
214,-108
215,-106
216,-104
217,-102
218,-100
219,-98
220,-96
221,-94
222,-92
223,-90
224,-88
225,-86
226,-83
227,-81
228,-78
229,-76
230,-73
231,-71
232,-68
233,-66
234,-63
235,-60
236,-57
237,-54
238,-52
239,-49
240,-46
241,-43
242,-40
243,-37
244,-34
245,-31
246,-28
247,-25
248,-22
249,-19
250,-16
251,-12
252,-9
253,-6
254,-3
255,0
